impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,location_for_map,Memo
K17-096814,A520567,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1674620,LOST,Bailey,Dog,,Male,Golden Retriever,Unknown,02/13/2017 12:00:00 AM,Date Lost,1600 127TH AVE SE,BELLEVUE,WA,98005,BELLEVUE,47.597108,-122.171348,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1674620,Image Copyright HLP Inc. 2017,"1600 127TH AVE SE
BELLEVUE, WA 98005
(47.597108, -122.171348)",
K17-096414,A519040,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1665020,LOST,Buster,Cat,,Male,American Shorthair,Unknown,01/20/2017 12:00:00 AM,Date Lost,10100 240TH PL SW,EDMONDS,WA,98020,SNOHOMISH COUNT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1665020,Image Copyright HLP Inc. 2017,"10100 240TH PL SW
EDMONDS, WA 98020
",
K17-096761,A520334,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1673337,LOST,Landry,Dog,,Male,Siberian Husky,Unknown,02/11/2017 12:00:00 AM,Date Lost,22200 123RD PL SE,KENT,WA,98031,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1673337,Image Copyright HLP Inc. 2017,"22200 123RD PL SE
KENT, WA 98031
",
K17-096779,A520437,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1674084,LOST,Kimo,Cat,,Male,Domestic Shorthair,Unknown,02/10/2017 12:00:00 AM,Date Lost,36900 42ND AVENUE SOUTH,AUBURN,,9800,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1674084,Image Copyright HLP Inc. 2017,"36900 42ND AVENUE SOUTH
AUBURN 9800
",
K17-096441,A519131,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1665410,LOST,Netty,Cat,,Female,Domestic Shorthair,Unknown,01/19/2017 12:00:00 AM,Date Lost,NE 194TH DR,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1665410,Image Copyright HLP Inc. 2017,"NE 194TH DR
",
K17-096762,A520335,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1673349,In Public Home,,Cat,,Female,Snowshoe,Brown / White,02/10/2017 12:00:00 AM,Date Found,SE 159TH PL,MAPLE RIDGE NEIGHBO,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1673349,Image Copyright HLP Inc. 2017,"SE 159TH PL
MAPLE RIDGE NEIGHBO
",
K17-096415,A519041,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1665029,LOST,Charlie,Dog,,Male,Golden Retriever,Unknown,01/22/2017 12:00:00 AM,Date Lost,14700 75TH AVE NE,KENMORE,WA,98028,KENMORE,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1665029,Image Copyright HLP Inc. 2017,"14700 75TH AVE NE
KENMORE, WA 98028
",
K17-096690,A520168,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1672228,LOST,Roman,Cat,,Male,Domestic Longhair,Unknown,02/07/2017 12:00:00 AM,Date Lost,112TH AND 1ST AVE S,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1672228,Image Copyright HLP Inc. 2017,"112TH AND 1ST AVE S
",
K17-096686,A520153,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1672067,In Public Home,,Dog,,Female,Bernese Mountain Dog,Black / White,02/08/2017 12:00:00 AM,Date Found,,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1672067,Image Copyright HLP Inc. 2017,,
K17-096995,A521195,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1679074,LOST,Minion,Dog,,Female,Great Pyrenees,Unknown,02/24/2017 12:00:00 AM,Date Lost,20400 SE PIPE LINE RD,RENTON,WA,98058,KING COUNTY,47.420798,-122.06904,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1679074,Image Copyright HLP Inc. 2017,"20400 SE PIPE LINE RD
RENTON, WA 98058
(47.420798, -122.06904)",
